date,workoutId,exercise,weight,reps,e1rm
2026-01-12,A,Bench Press,35.0,10,46.7
2026-01-12,A,Chest-Supported Row,35.0,15,52.5
2026-01-13,B,Leg Press,77.0,15,115.5
2026-01-13,B,Lying Leg Curl,35.0,15,52.5
2026-01-14,C,Incline DB Press,17.5,15,26.25
2026-01-14,C,Machine Row,40.0,15,60.0
2026-01-16,A,Bench Press,45.0,15,67.5
2026-01-16,A,Seated Tricep Dip,61.0,15,91.5
2026-01-19,B,Leg Press,93.0,15,139.5
2026-01-19,B,Lying Leg Curl,35.0,15,52.5
2026-01-19,B,Leg Extension,61.0,15,91.5
2026-01-19,B,Calf Raise,93.0,15,139.5
